volume,volume_weighted,open,close,high,low,timestamp,num_trades
29513903.584032178,0.6066,0.5935,0.6236,0.6244,0.5903,2024-01-01,33605
43864047.6562426,0.6215,0.6236,0.6053,0.6373,0.6021,2024-01-02,52471
83629896.30409539,0.5684,0.605492,0.5572,0.6188,0.4889,2024-01-03,88655
43390902.55428482,0.5662,0.5572,0.5704,0.5796,0.5498,2024-01-04,54042
52725827.7352196,0.5418,0.5708,0.54228,0.57356,0.52225,2024-01-05,64532
34619210.54990041,0.523,0.54192,0.5231,0.5435,0.5073,2024-01-06,41020
35153289.0126335,0.5108,0.52296,0.4947,0.5309,0.488,2024-01-07,43679
77466577.00503781,0.5066,0.49441,0.5416,0.5449,0.465,2024-01-08,88956
53093302.870301805,0.5153,0.5417,0.5123,0.5441,0.496294,2024-01-09,65345
81257775.66523203,0.5337,0.512351,0.5664,0.5899,0.487311,2024-01-10,79216
83539330.20429443,0.5854,0.565839,0.582,0.6196,0.56064,2024-01-11,93499
54840230.81650131,0.5649,0.582,0.5475,0.589,0.5258,2024-01-12,76901
25047100.782899674,0.5467,0.5477,0.5491,0.5538,0.531,2024-01-13,32116
22836186.105194543,0.5394,0.5489,0.5246,0.55,0.523041,2024-01-14,30693
22686345.316309836,0.5326,0.525,0.52767,0.5472,0.521229,2024-01-15,30175
21377403.820381567,0.5379,0.52802,0.5353,0.54874,0.525,2024-01-16,27987
20732327.409125067,0.5298,0.5355,0.527868,0.53954,0.520554,2024-01-17,25110
39915816.305875815,0.51,0.5278,0.502,0.527872,0.495,2024-01-18,42976
45588934.66687683,0.4919,0.501811,0.504,0.50576,0.4704,2024-01-19,51996
23704743.587054484,0.5111,0.504,0.5156,0.51905,0.498184,2024-01-20,27161
20857960.3383024,0.5139,0.5154,0.5028,0.52106,0.502,2024-01-21,20942
38275454.63358588,0.4898,0.5029,0.477978,0.50748,0.4743,2024-01-22,41908
51615148.51595742,0.4657,0.478,0.477024,0.48639,0.4473,2024-01-23,58429
39087976.4843327,0.472,0.477,0.4762,0.48065,0.4639,2024-01-24,32551
28637579.021610215,0.4713,0.4763,0.4663,0.486109,0.4581,2024-01-25,28758
21857201.15203542,0.4801,0.466267,0.4848,0.490225,0.4628,2024-01-26,25475
12993839.823071295,0.4853,0.4849,0.4861,0.49016,0.475296,2024-01-27,15634
19657603.101074025,0.4927,0.4862,0.4903,0.500922,0.483301,2024-01-28,21683
32993438.57943908,0.508,0.4904,0.525973,0.528297,0.4837,2024-01-29,34881
39902579.799555056,0.5257,0.5263,0.5137,0.5376,0.5123,2024-01-30,39369
37214761.5468342,0.5067,0.5138,0.4974,0.5203,0.4931,2024-01-31,36441
22103231.38630877,0.4949,0.4972,0.507449,0.50837,0.485362,2024-02-01,24214
29150770.28543367,0.5123,0.507748,0.5144,0.52424,0.5038,2024-02-02,30609
16215107.653875992,0.5192,0.5145,0.5123,0.525591,0.5115,2024-02-03,19700
14411206.359985145,0.5033,0.51236,0.4931,0.512465,0.493,2024-02-04,16645
19081179.15354382,0.4951,0.493326,0.4938,0.50596,0.4867,2024-02-05,22519
19336329.969498593,0.4959,0.4938,0.4982,0.504,0.4884,2024-02-06,21313
57688036.835033454,0.486,0.4981,0.5022,0.5024,0.471843,2024-02-07,38705
63340068.4794351,0.5216,0.5022,0.5305,0.5376,0.5019,2024-02-08,53857
48828659.226142585,0.5389,0.5304,0.5409,0.54898,0.5279,2024-02-09,44205
35468868.80369357,0.5432,0.5411,0.55216,0.5583,0.5282,2024-02-10,34227
42702622.75177756,0.5532,0.5517,0.541712,0.56592,0.5356,2024-02-11,36554
42485552.335642256,0.5515,0.5417,0.5595,0.5687,0.5308,2024-02-12,41249
36867297.53644477,0.5493,0.5594,0.5452,0.5647,0.5341,2024-02-13,39203
44824843.93502902,0.5691,0.5452,0.5776,0.5835,0.54,2024-02-14,48757
59796077.55088872,0.5954,0.5774,0.6094,0.6125,0.5698,2024-02-15,69364
50942850.95876952,0.5984,0.6092,0.5992,0.6142,0.582353,2024-02-16,52282
32444929.77918858,0.5889,0.599194,0.6097,0.61121,0.568999,2024-02-17,38798
51981347.08880907,0.6235,0.609619,0.6196,0.639,0.6094,2024-02-18,56869
33679271.559402354,0.6256,0.6197,0.6308,0.639,0.61447,2024-02-19,42663
50857258.70779244,0.6212,0.6309,0.622,0.6419,0.5944,2024-02-20,62136
41383163.23100386,0.593,0.6218,0.5988,0.6237,0.57447,2024-02-21,51311
30561633.9651159,0.594,0.5988,0.5855,0.6079,0.58057,2024-02-22,41412
27546520.559474338,0.5837,0.5855,0.5823,0.595004,0.56786,2024-02-23,38699
